Time,Total[yd],Carry[yd],Height[m],Smash Factor,Club Speed[mph],Ball Speed[mph],Launch Angle,Launch Direction,Type
2024/08/23 06:47,72,51,1.7,1.03,65.9,68.0,6.0,R12,
2024/08/23 06:46,86,72,7.0,1.04,65.8,68.3,15,R12,
2024/08/23 06:46,7.2,6.7,1.0,0.27,64.7,17.4,30,R18,
2024/08/23 06:45,49,39,3.4,0.72,66.7,47.7,16,R9.2,
2024/08/23 06:45,95,76,4.9,1.30,57.3,74.2,10,R13,
2024/08/23 06:44,73,54,2.3,1.00,65.3,65.6,7.9,R8.0,
2024/08/23 06:41,47,34,1.8,0.79,62.3,49.3,10,R7.2,
2024/08/23 06:41,106,87,6.4,1.32,60.1,79.3,11,R14,
2024/08/23 06:40,25,17,1.0,0.55,60.2,33.2,13,R15,
2024/08/23 06:39,110,93,8.1,1.33,60.4,80.7,13,R12,
2024/08/23 06:38,58,47,4.3,0.87,61.1,53.0,16,R8.7,
2024/08/23 06:37,65,52,4.3,1.00,57.4,57.4,14,R14,
2024/08/23 06:37,87,68,4.1,1.47,48.0,70.6,10,R12,
